id,region,commune,CEP_admission-v,CEP_admission-X,CEP_admission-Y,school_supplies-v,school_supplies-X,school_supplies-Y,school_water_source-v,school_water_source-X,school_water_source-Y, school_latrines-v,school_latrines-X,school_latrines-Y,assisted_delivery-v,assisted_delivery-X,assisted_delivery-Y,vaccinated_infants-v,vaccinated_infants-X,vaccinated_infants-Y,CSPS_gas-v,CSPS_gas-X,CSPS_gas-Y,pop_water_source-v,pop_water_source-X,pop_water_source-Y,birth_certificate-v,birth_certificate-X,birth_certificate-Y,summary-v,summary-X,summary-Y
1,Cascades,BANFORA,52,17,13,13,17,8,60,17,0,80,17,0,68,17,10,87,17,15,20,17,10,77,17,1,42,17,5,1,17,16
2,Cascades,BEREGADOUGOU,70,17,8,10,17,4,60,17,0,30,17,11,66,17,12,78,17,16,0,17,12,38,17,15,52,17,2,2,17,15
3,Cascades,DAKORO,77,17,5,15,17,10,10,17,8,30,17,11,100,17,0,100,17,0,0,17,12,56,17,7,48,17,3,3,17,14
4,Cascades,DOUNA,87,17,1,10,17,4,0,17,10,30,17,11,65,17,13,95,17,13,100,17,0,82,17,0,47,17,4,4,17,13
5,Cascades,KANKALABA,84,17,3,1,17,1,30,17,4,20,17,14,65,17,13,97,17,12,0,17,12,65,17,2,36,17,8,5,17,12
6,Cascades,LOUMANA,71,17,7,21,17,13,0,17,10,20,17,14,100,17,0,100,17,0,100,17,0,55,17,8,60,17,0,6,17,11
7,Cascades,MANGODARA,53,17,12,25,17,14,8,17,9,63,17,3,82,17,7,100,17,0,50,17,8,44,17,14,25,17,12,7,17,10
8,Cascades,MOUSSODOUGOU,90,17,0,10,17,4,40,17,2,10,17,16,68,17,10,100,17,0,100,17,0,52,17,11,28,17,11,8,17,9
9,Cascades,NIANGOLOKO,45,17,14,17,17,12,0,17,10,38,17,10,100,17,0,100,17,0,0,17,12,55,17,8,40,17,7,9,17,8
10,Cascades,NIANKORODOUGOU,58,17,10,15,17,10,0,17,10,40,17,6,100,17,0,100,17,0,100,17,0,55,17,8,53,17,1,10,17,7
11,Cascades,OUELENI,77,17,5,7,17,2,17,17,7,42,17,5,100,17,0,100,17,0,20,17,10,60,17,4,35,17,9,11,17,6
12,Cascades,OUO,62,17,9,14,17,9,39,17,3,39,17,9,58,17,15,100,17,0,100,17,0,57,17,6,12,17,16,12,17,5
13,Cascades,SIDERADOUGOU,58,17,10,50,17,16,0,17,10,40,17,6,92,17,6,100,17,0,40,17,9,47,17,12,18,17,14,13,17,4
14,Cascades,SINDOU,82,17,4,12,17,7,0,17,10,70,17,2,48,17,16,98,17,11,0,17,12,28,17,16,42,17,5,14,17,3
15,Cascades,SOUBAKANIEDOUGOU,34,17,16,0,17,0,20,17,6,80,17,0,80,17,8,100,17,0,100,17,0,61,17,3,35,17,9,15,17,2
16,Cascades,TIEFORA,42,17,15,8,17,3,28,17,5,60,17,4,73,17,9,100,17,0,100,17,0,47,17,12,19,17,13,16,17,1
17,Cascades,WOLONKOTO,87,17,1,38,17,15,0,17,10,40,17,6,100,17,0,92,17,14,100,17,0,59,17,5,18,17,14,17,17,0
18,Centre-Est,ANDEMTENGA,72,30,3,1,30,3,65,30,14,50,30,20,84,30,2,100,30,0,13,30,20,77,30,15,97,30,2,18,30,29
19,Centre-Est,BAGRE (TENKODOGO),77,30,1,0,30,0,50,30,20,80,30,1,100,30,0,100,30,0,86,30,13,73,30,17,38,30,15,19,30,28
20,Centre-Est,BANE,55,30,22,2,30,6,40,30,24,70,30,5,78,30,8,98,30,10,100,30,0,80,30,12,14,30,25,20,30,27
21,Centre-Est,BASKOURE,62,30,14,45,30,28,70,30,11,70,30,5,64,30,17,79,30,28,100,30,0,98,30,0,56,30,11,21,30,26
22,Centre-Est,BEGUEDO,69,30,6,19,30,18,78,30,6,56,30,18,84,30,2,97,30,12,100,30,0,85,30,9,76,30,5,22,30,25
23,Centre-Est,BISSIGA,37,30,28,6,30,11,90,30,2,50,30,20,70,30,12,84,30,23,100,30,0,79,30,13,34,30,16,23,30,24
24,Centre-Est,BITTOU,70,30,5,5,30,9,0,30,27,38,30,28,81,30,4,100,30,0,83,30,14,40,30,28,29,30,20,24,30,23
25,Centre-Est,BOUSSOUMAH,65,30,12,0,30,0,93,30,0,40,30,26,65,30,16,84,30,23,100,30,0,87,30,7,70,30,6,25,30,22
26,Centre-Est,COMIN-YANGA,40,30,27,12,30,14,73,30,8,53,30,19,0,30,23,100,30,0,0,30,22,56,30,25,21,30,22,26,30,21
27,Centre-Est,DIALGAYE,58,30,20,18,30,16,73,30,8,67,30,9,68,30,13,90,30,17,100,30,0,89,30,6,33,30,17,27,30,20
28,Centre-Est,DOURTENGA,68,30,8,23,30,23,0,30,27,50,30,20,0,30,23,100,30,0,0,30,22,72,30,19,40,30,14,28,30,19
29,Centre-Est,GARANGO,46,30,25,131,30,29,93,30,0,40,30,26,64,30,17,81,30,27,100,30,0,84,30,10,65,30,8,29,30,18
30,Centre-Est,GOUNGHIN,68,30,8,4,30,7,55,30,19,65,30,12,71,30,10,83,30,25,100,30,0,90,30,5,96,30,3,30,30,17
31,Centre-Est,KANDO,71,30,4,4,30,7,73,30,8,67,30,9,72,30,9,89,30,19,0,30,22,79,30,13,27,30,21,31,30,16
32,Centre-Est,KOMTOEGA,51,30,23,26,30,24,70,30,11,60,30,14,68,30,13,82,30,26,0,30,22,96,30,1,51,30,12,32,30,15
33,Centre-Est,KOUPELA,60,30,16,1,30,3,87,30,4,67,30,9,100,30,0,100,30,0,83,30,14,83,30,11,100,30,0,33,30,14
34,Centre-Est,LALGAYE,44,30,26,5,30,9,0,30,27,50,30,20,0,30,23,88,30,21,100,30,0,72,30,19,20,30,23,34,30,13
35,Centre-Est,NIAOGO,66,30,11,14,30,15,90,30,2,90,30,0,64,30,17,91,30,16,100,30,0,86,30,8,47,30,13,35,30,12
36,Centre-Est,OUARGAYE,63,30,13,21,30,20,80,30,5,65,30,12,71,30,10,98,30,10,100,30,0,26,30,29,2,30,29,36,30,11
37,Centre-Est,POUYTENGA,60,30,16,7,30,12,50,30,20,60,30,14,80,30,7,90,30,17,0,30,22,91,30,4,60,30,9,37,30,10
38,Centre-Est,SANGA,67,30,10,18,30,16,65,30,14,50,30,20,0,30,23,89,30,19,67,30,16,59,30,24,8,30,27,38,30,9
39,Centre-Est,SOUDOUGUI,76,30,2,22,30,22,40,30,24,73,30,4,0,30,23,97,30,12,0,30,22,48,30,26,6,30,28,39,30,8
40,Centre-Est,TENKODOGO,62,30,14,21,30,20,74,30,7,76,30,3,63,30,20,96,30,14,6,30,21,77,30,15,33,30,17,40,30,7
41,Centre-Est,TENSOBENTENGA,49,30,24,1,30,3,60,30,16,70,30,5,57,30,22,95,30,15,100,30,0,95,30,3,19,30,24,41,30,6
42,Centre-Est,YARGATENGA,57,30,21,10,30,13,60,30,16,33,30,29,0,30,23,100,30,0,0,30,22,47,30,27,59,30,10,42,30,5
43,Centre-Est,YARGO,37,30,28,32,30,25,67,30,13,78,30,2,68,30,13,85,30,22,100,30,0,96,30,1,70,30,6,43,30,4
44,Centre-Est,YONDE,60,30,16,35,30,26,60,30,16,70,30,5,0,30,23,77,30,29,25,30,19,65,30,22,33,30,17,44,30,3
45,Centre-Est,ZABRE,59,30,19,0,30,0,45,30,23,60,30,14,81,30,4,100,30,0,55,30,18,66,30,21,77,30,4,45,30,2
46,Centre-Est,ZOAGA,81,30,0,20,30,19,22,30,26,44,30,25,59,30,21,99,30,9,0,30,22,64,30,23,10,30,26,46,30,1
47,Centre-Est,ZONSE,69,30,6,37,30,27,50,30,20,60,30,14,81,30,4,100,30,0,67,30,16,73,30,17,100,30,0,47,30,0
48,Centre-Nord,BARSALOGHO,43,28,25,5,28,16,78,28,6,94,28,2,81,28,8,100,28,0,0,28,13,65,28,22,33,28,10,48,28,27
49,Centre-Nord,BOALA,46,28,23,0,28,0,60,28,15,90,28,4,42,28,27,81,28,18,50,28,7,79,28,6,24,28,19,49,28,26
50,Centre-Nord,BOULSA,69,28,9,2,28,11,76,28,7,71,28,16,68,28,16,92,28,15,9,28,11,69,28,16,47,28,5,50,28,25
51,Centre-Nord,BOUROUM,81,28,3,0,28,0,80,28,2,93,28,3,85,28,4,100,28,0,100,28,0,57,28,26,23,28,22,51,28,24
52,Centre-Nord,BOURZANGA,86,28,2,2,28,11,38,28,26,81,28,9,80,28,10,4,28,26,0,28,13,58,28,25,37,28,8,52,28,23
53,Centre-Nord,BOUSSOUMA,62,28,16,11,28,21,80,28,2,48,28,24,58,28,23,93,28,14,0,28,13,74,28,10,23,28,22,53,28,22
54,Centre-Nord,DABLO,49,28,21,0,28,0,100,28,0,90,28,4,65,28,19,100,28,0,100,28,0,71,28,15,22,28,24,54,28,21
55,Centre-Nord,DARGO,75,28,5,9,28,19,87,28,1,73,28,15,83,28,5,100,28,0,50,28,7,66,28,19,25,28,18,55,28,20
56,Centre-Nord,GUIBARE,69,28,9,0,28,0,60,28,15,53,28,23,100,28,0,9,28,22,0,28,13,78,28,7,70,28,0,56,28,19
57,Centre-Nord,KAYA,68,28,12,0,28,0,64,28,14,56,28,22,61,28,21,95,28,12,8,28,12,81,28,2,19,28,26,57,28,18
58,Centre-Nord,KONGOUSSI,51,28,19,0,28,0,73,28,8,65,28,19,100,28,0,2,28,27,0,28,13,80,28,4,37,28,8,58,28,17
59,Centre-Nord,KORSIMORO,74,28,6,8,28,18,40,28,24,20,28,27,58,28,23,100,28,0,57,28,6,74,28,10,19,28,26,59,28,16
60,Centre-Nord,MANE,80,28,4,0,28,0,71,28,10,47,28,25,58,28,23,91,28,16,0,28,13,78,28,7,32,28,11,60,28,15
61,Centre-Nord,NAGBINGOU,91,28,0,18,28,24,80,28,2,100,28,0,69,28,15,96,28,11,0,28,13,61,28,24,28,28,13,61,28,14
62,Centre-Nord,NAMISSIGUIMA,60,28,17,27,28,26,43,28,23,100,28,0,100,28,0,100,28,0,0,28,13,66,28,19,58,28,1,62,28,13
63,Centre-Nord,NASSERE,44,28,24,24,28,25,56,28,19,67,28,17,79,28,12,13,28,19,0,28,13,81,28,2,53,28,2,63,28,12
64,Centre-Nord,PENSA,63,28,15,9,28,19,71,28,10,57,28,21,83,28,5,100,28,0,33,28,9,66,28,19,28,28,13,64,28,11
65,Centre-Nord,PIBAORE,59,28,18,0,28,0,30,28,27,60,28,20,63,28,20,98,28,9,0,28,13,74,28,10,26,28,17,65,28,10
66,Centre-Nord,PISSILA,43,28,25,14,28,22,60,28,15,85,28,8,56,28,26,95,28,12,75,28,5,65,28,22,53,28,2,66,28,9
67,Centre-Nord,ROLLO,69,28,9,0,28,0,50,28,20,90,28,4,80,28,10,10,28,21,0,28,13,73,28,13,51,28,4,67,28,8
68,Centre-Nord,ROUKO,72,28,8,4,28,15,40,28,24,80,28,10,78,28,13,11,28,20,0,28,13,72,28,14,47,28,5,68,28,7
69,Centre-Nord,SABCE,36,28,27,5,28,16,44,28,22,78,28,12,71,28,14,7,28,24,0,28,13,77,28,9,32,28,11,69,28,6
70,Centre-Nord,TIKARE,66,28,14,2,28,11,50,28,20,75,28,14,67,28,17,5,28,25,100,28,0,89,28,0,24,28,19,70,28,5
71,Centre-Nord,TOUGOURI,73,28,7,39,28,27,72,28,9,76,28,13,82,28,7,100,28,0,0,28,13,67,28,17,47,28,5,71,28,4
72,Centre-Nord,YALGO,68,28,12,0,28,0,80,28,2,47,28,26,95,28,3,100,28,0,0,28,13,49,28,27,27,28,16,72,28,3
73,Centre-Nord,ZEGUEDEGUIN,50,28,20,0,28,0,70,28,12,90,28,4,59,28,22,89,28,17,100,28,0,82,28,1,21,28,25,73,28,2
74,Centre-Nord,ZIGA,89,28,1,2,28,11,67,28,13,67,28,17,67,28,17,98,28,9,100,28,0,67,28,17,24,28,19,74,28,1
75,Centre-Nord,ZIMTENGA,47,28,22,14,28,22,60,28,15,80,28,10,81,28,8,8,28,23,33,28,9,80,28,4,28,28,13,75,28,0
76,Centre-Sud,BERE,76,19,0,8,19,9,33,19,17,56,19,9,56,19,12,76,19,16,100,19,0,66,19,16,32,19,6,76,19,18
77,Centre-Sud,BINDE,49,19,16,20,19,14,62,19,4,77,19,2,54,19,15,90,19,7,100,19,0,83,19,7,34,19,5,77,19,17
78,Centre-Sud,DOULOUGOU,70,19,2,3,19,4,38,19,16,50,19,12,88,19,1,100,19,0,100,19,0,91,19,4,38,19,3,78,19,16
79,Centre-Sud,GAONGO,47,19,18,17,19,11,73,19,1,55,19,10,72,19,7,97,19,3,100,19,0,55,19,18,9,19,16,79,19,15
80,Centre-Sud,GOGO,50,19,15,21,19,15,40,19,14,33,19,16,83,19,3,100,19,0,100,19,0,72,19,15,48,19,2,80,19,14
81,Centre-Sud,GOMBOUSSOUGOU,69,19,3,25,19,16,50,19,9,63,19,6,100,19,0,100,19,0,100,19,0,77,19,13,32,19,6,81,19,13
82,Centre-Sud,GUIARO,48,19,17,8,19,9,40,19,14,50,19,12,68,19,8,80,19,14,100,19,0,66,19,16,24,19,10,82,19,12
83,Centre-Sud,GUIBA,75,19,1,4,19,5,75,19,0,65,19,4,57,19,11,84,19,10,100,19,0,92,19,3,22,19,11,83,19,11
84,Centre-Sud,IPELCE,60,19,10,2,19,2,50,19,9,92,19,0,47,19,17,88,19,8,100,19,0,96,19,0,21,19,12,84,19,10
85,Centre-Sud,KAYAO,54,19,13,1,19,0,73,19,1,60,19,8,82,19,4,91,19,5,100,19,0,77,19,13,8,19,18,85,19,9
86,Centre-Sud,KOMBISSIRI,55,19,12,19,19,13,53,19,8,32,19,17,82,19,4,91,19,5,100,19,0,83,19,7,37,19,4,86,19,8
87,Centre-Sud,MANGA,63,19,8,28,19,17,67,19,3,40,19,15,63,19,10,74,19,17,71,19,14,91,19,4,51,19,1,87,19,7
88,Centre-Sud,NOBÉRÉ,68,19,4,2,19,2,59,19,6,52,19,11,74,19,6,87,19,9,50,19,16,83,19,7,75,19,0,88,19,6
89,Centre-Sud,PO,63,19,8,5,19,8,30,19,18,30,19,18,66,19,9,83,19,11,86,19,13,80,19,11,32,19,6,89,19,5
90,Centre-Sud,SAPONE,65,19,6,1,19,0,57,19,7,62,19,7,52,19,16,82,19,12,100,19,0,95,19,1,11,19,14,90,19,4
91,Centre-Sud,TIEBELE,53,19,14,4,19,5,60,19,5,47,19,14,55,19,13,81,19,13,60,19,15,79,19,12,19,19,13,91,19,3
92,Centre-Sud,TOECE,57,19,11,4,19,5,47,19,13,65,19,5,85,19,2,92,19,4,91,19,12,88,19,6,9,19,16,92,19,2
93,Centre-Sud,ZECCO,67,19,5,18,19,12,50,19,9,70,19,3,55,19,13,80,19,14,0,19,17,93,19,2,26,19,9,93,19,1
94,Centre-Sud,ZIOU,64,19,7,29,19,18,50,19,9,80,19,1,43,19,18,51,19,18,0,19,17,82,19,10,10,19,15,94,19,0
95,Plateau Central,ABSOUYA,56,20,10,13,20,12,67,20,5,44,20,18,94,20,4,100,20,0,80,20,14,82,20,8,45,20,1,95,20,19
96,Plateau Central,BOUDRY,79,20,0,18,20,14,64,20,9,72,20,7,98,20,1,100,20,0,100,20,0,71,20,17,5,20,17,96,20,18
97,Plateau Central,BOUSSE,50,20,14,1,20,2,48,20,15,48,20,17,,20,,,20,,100,20,0,78,20,13,,20,,97,20,17
98,Plateau Central,DAPELOGO,63,20,7,30,20,18,65,20,7,60,20,13,75,20,10,92,20,12,100,20,0,79,20,9,19,20,10,98,20,16
99,Plateau Central,KOGHO,68,20,5,3,20,5,10,20,19,80,20,5,66,20,12,93,20,9,0,20,16,79,20,9,25,20,7,99,20,15
100,Plateau Central,LAYE,39,20,18,1,20,2,40,20,17,70,20,8,,20,,,20,,100,20,0,97,20,0,,20,,100,20,14
101,Plateau Central,LOUMBILA,77,20,1,3,20,5,47,20,16,67,20,12,62,20,13,82,20,13,100,20,0,78,20,13,22,20,8,101,20,13
102,Plateau Central,MEGUET,56,20,10,15,20,13,60,20,10,73,20,6,88,20,6,94,20,7,83,20,13,87,20,3,40,20,3,102,20,12
103,Plateau Central,MOGTEDO,47,20,16,0,20,0,65,20,7,55,20,15,96,20,3,100,20,0,100,20,0,53,20,19,11,20,14,103,20,11
104,Plateau Central,NAGREONGO,70,20,4,0,20,0,67,20,5,87,20,1,81,20,8,100,20,0,100,20,0,85,20,4,8,20,16,104,20,10
105,Plateau Central,NIOU,62,20,8,11,20,10,69,20,4,81,20,4,42,20,17,63,20,17,0,20,16,89,20,2,21,20,9,105,20,9
106,Plateau Central,OURGOU-MANEGA,66,20,6,12,20,11,50,20,14,70,20,8,61,20,14,80,20,14,100,20,0,84,20,6,29,20,5,106,20,8
107,Plateau Central,SALOGO,52,20,13,23,20,17,70,20,2,70,20,8,93,20,5,100,20,0,0,20,16,79,20,9,10,20,15,107,20,7
108,Plateau Central,SOURGOUBILA,36,20,19,19,20,15,30,20,18,50,20,16,55,20,15,71,20,15,100,20,0,66,20,18,19,20,10,108,20,6
109,Plateau Central,TOEGHIN,49,20,15,4,20,7,60,20,10,90,20,0,43,20,16,67,20,16,50,20,15,84,20,6,15,20,12,109,20,5
110,Plateau Central,ZAM,76,20,2,7,20,9,55,20,12,82,20,3,80,20,9,93,20,9,0,20,16,78,20,13,100,20,0,110,20,4
111,Plateau Central,ZINIARÉ,71,20,3,5,20,8,52,20,13,44,20,19,86,20,7,96,20,6,100,20,0,79,20,9,40,20,3,111,20,3
112,Plateau Central,ZITENGA,59,20,9,21,20,16,73,20,1,60,20,13,75,20,10,93,20,9,100,20,0,85,20,4,29,20,5,112,20,2
113,Plateau Central,ZORGHO,53,20,12,1,20,2,70,20,2,85,20,2,100,20,0,100,20,0,86,20,12,91,20,1,45,20,1,113,20,1
114,Plateau Central,ZOUNGOU,41,20,17,34,20,19,80,20,0,70,20,8,98,20,1,94,20,7,100,20,0,77,20,16,12,20,13,114,20,0
115,Sahel,ARIBINDA,76,26,4,6,26,6,48,26,8,57,26,7,59,26,16,89,26,20,0,26,17,42,26,19,8,26,20,115,26,5
116,Sahel,BANI,38,26,21,8,26,13,50,26,4,50,26,8,81,26,10,100,26,0,0,26,17,62,26,9,38,26,5,116,26,4
117,Sahel,BARABOULE,85,26,1,9,26,14,38,26,16,44,26,14,87,26,8,100,26,0,100,26,0,52,26,15,10,26,17,117,26,3
118,Sahel,BOUNDORE,32,26,24,7,26,9,50,26,4,50,26,8,90,26,7,100,26,0,100,26,0,64,26,6,3,26,23,118,26,2
119,Sahel,DEOU,61,26,12,9,26,14,33,26,19,47,26,13,55,26,17,100,26,0,33,26,16,33,26,23,20,26,11,119,26,1
120,Sahel,DIGUEL,35,26,22,33,26,24,0,26,25,38,26,20,38,26,22,65,26,24,,26,,67,26,4,31,26,9,120,26,0
121,Sahel,DJIBO,65,26,8,9,26,14,35,26,18,65,26,3,53,26,18,85,26,22,100,26,0,54,26,13,56,26,1,121,26,25
122,Sahel,DORI,47,26,18,6,26,6,50,26,4,65,26,2,67,26,13,96,26,17,67,26,10,63,26,8,50,26,2,122,26,24
123,Sahel,FALAGOUNTOU,65,26,8,13,26,19,70,26,1,40,26,15,100,26,0,100,26,0,0,26,17,73,26,0,40,26,4,123,26,23
124,Sahel,GORGADJI,52,26,16,6,26,6,43,26,11,64,26,4,66,26,14,97,26,16,0,26,17,35,26,22,23,26,10,124,26,22
125,Sahel,GOROM-GOROM,55,26,14,40,26,25,40,26,12,40,26,15,45,26,19,100,26,0,100,26,0,45,26,18,14,26,14,125,26,21
126,Sahel,KELBO,49,26,17,7,26,9,40,26,12,20,26,21,79,26,11,100,26,0,100,26,0,69,26,1,32,26,7,126,26,20
127,Sahel,KOUTOUGOU,93,26,0,1,26,1,40,26,12,50,26,8,31,26,23,64,26,25,50,26,12,38,26,21,10,26,17,127,26,19
128,Sahel,MANSILA,63,26,11,10,26,17,20,26,22,15,26,23,99,26,6,100,26,0,50,26,12,69,26,1,9,26,19,128,26,18
129,Sahel,MARKOYE,56,26,13,2,26,2,33,26,19,40,26,15,40,26,21,100,26,0,0,26,17,50,26,16,11,26,15,129,26,17
130,Sahel,NASSOUMBOU,83,26,2,7,26,9,50,26,4,40,26,15,42,26,20,83,26,23,67,26,10,48,26,17,65,26,0,130,26,16
131,Sahel,OURSI,81,26,3,18,26,20,40,26,12,10,26,25,30,26,24,100,26,0,100,26,0,30,26,24,11,26,15,131,26,15
132,Sahel,POBE-MENGAO,70,26,6,10,26,17,13,26,24,75,26,0,85,26,9,89,26,20,50,26,12,64,26,6,19,26,12,132,26,14
133,Sahel,SAMPELGA,32,26,24,3,26,5,70,26,1,60,26,6,100,26,0,100,26,0,0,26,17,58,26,12,16,26,13,133,26,13
134,Sahel,SEBBA,34,26,23,19,26,21,79,26,0,14,26,24,100,26,0,100,26,0,100,26,0,66,26,5,5,26,22,134,26,12
135,Sahel,SEYTENGA,42,26,19,25,26,23,60,26,3,50,26,8,70,26,12,100,26,0,0,26,17,53,26,14,37,26,6,135,26,11
136,Sahel,SOLHAN,64,26,10,0,26,0,47,26,9,40,26,15,100,26,0,100,26,0,100,26,0,60,26,11,2,26,24,136,26,10
137,Sahel,TANKOUGOUNADIE,54,26,15,2,26,2,46,26,10,69,26,1,100,26,0,100,26,0,50,26,12,69,26,1,32,26,7,137,26,9
138,Sahel,TIN-AKOFF,40,26,20,7,26,9,30,26,21,20,26,21,28,26,25,95,26,19,0,26,17,21,26,25,8,26,20,138,26,8
139,Sahel,TITABE,71,26,5,2,26,2,36,26,17,64,26,5,100,26,0,100,26,0,100,26,0,62,26,9,1,26,25,139,26,7
140,Sahel,TONGOMAYEL,66,26,7,23,26,22,16,26,23,47,26,12,61,26,15,96,26,17,75,26,9,41,26,20,42,26,3,140,26,6
